sector_id,sr_no,sector,year,credit_crore
2.14  ,2.14  ,All Engineering,2026,317373.7001
2.14.1  ,2.14.1  ,Electronics,2026,59905.30703
2.14.2  ,2.14.2  ,Others,2026,257468.393
2.15  ,2.15  ,"Vehicles, Vehicle Parts and Transport Equipment",2026,141075.5601
2.16  ,2.16  ,Gems and Jewellery,2026,121355.0919
2.17  ,2.17  ,Construction,2026,179323.3057
2.18  ,2.18  ,Infrastructure,2026,1490126.394
2.18.1  ,2.18.1  ,Power,2026,842654.828
2.18.2  ,2.18.2  ,Telecommunications,2026,108701.4327
2.18.3  ,2.18.3  ,Roads,2026,338134.9082
2.18.4  ,2.18.4  ,Airports,2026,6684.13
2.18.5  ,2.18.5  ,Ports,2026,8794.11
2.18.6  ,2.18.6  ,Railways (other than Indian Railways),2026,6730.318654
2.18.7  ,2.18.7  ,Other Infrastructure,2026,178426.666
2.19  ,2.19  ,Other Industries,2026,353413.3863
,,Industries (2.1 to 2.19),2026,4584304.347
