scenario_1,scenario_2,spearman_rho,p_value
2,54,0.7692307692307694,0.0034464502618274493
2,55,0.9790209790209792,3.0898013985487064e-08
2,56,1.0,0.0
2,57,0.9440559440559443,3.927261080965951e-06
2,58,0.9790209790209792,3.0898013985487064e-08
2,59,1.0,0.0
2,60,0.9440559440559443,3.927261080965951e-06
2,61,0.8741258741258742,0.0002007130733242317
2,62,0.8531468531468532,0.0004181179404149969
2,63,0.7692307692307694,0.0034464502618274493
2,64,0.8741258741258742,0.0002007130733242317
2,65,0.8531468531468532,0.0004181179404149969
2,66,0.7692307692307694,0.0034464502618274493
2,67,0.8741258741258742,0.0002007130733242317
2,68,0.8531468531468532,0.0004181179404149969
2,69,0.7692307692307694,0.0034464502618274493
2,70,0.8741258741258742,0.0002007130733242317
2,71,0.8531468531468532,0.0004181179404149969
2,72,0.7692307692307694,0.0034464502618274493
2,73,0.9790209790209792,3.0898013985487064e-08
2,74,1.0,0.0
2,75,0.9440559440559443,3.927261080965951e-06
2,76,0.9790209790209792,3.0898013985487064e-08
2,77,1.0,0.0
2,78,0.9440559440559443,3.927261080965951e-06
2,79,0.8741258741258742,0.0002007130733242317
2,80,0.8531468531468532,0.0004181179404149969
2,81,0.7692307692307694,0.0034464502618274493
2,82,0.8741258741258742,0.0002007130733242317
2,83,0.8531468531468532,0.0004181179404149969
2,84,0.7692307692307694,0.0034464502618274493
2,85,0.8741258741258742,0.0002007130733242317
2,86,0.8531468531468532,0.0004181179404149969
2,87,0.7692307692307694,0.0034464502618274493
2,88,0.8741258741258742,0.0002007130733242317
2,89,0.8531468531468532,0.0004181179404149969
2,90,0.7692307692307694,0.0034464502618274493
2,91,0.9790209790209792,3.0898013985487064e-08
2,92,1.0,0.0
2,93,0.9440559440559443,3.927261080965951e-06
2,94,0.9790209790209792,3.0898013985487064e-08
2,95,1.0,0.0
2,96,0.9440559440559443,3.927261080965951e-06
2,97,0.8741258741258742,0.0002007130733242317
2,98,0.8531468531468532,0.0004181179404149969
2,99,0.7692307692307694,0.0034464502618274493
2,100,0.8741258741258742,0.0002007130733242317
2,101,0.8531468531468532,0.0004181179404149969
2,102,0.7692307692307694,0.0034464502618274493
2,103,0.8741258741258742,0.0002007130733242317
2,104,0.8531468531468532,0.0004181179404149969
2,105,0.7692307692307694,0.0034464502618274493
2,106,0.8741258741258742,0.0002007130733242317
2,107,0.8531468531468532,0.0004181179404149969
2,108,0.7692307692307694,0.0034464502618274493
2,109,0.9790209790209792,3.0898013985487064e-08
2,110,1.0,0.0
2,111,0.9440559440559443,3.927261080965951e-06
2,112,0.9790209790209792,3.0898013985487064e-08
2,113,1.0,0.0
2,114,0.9440559440559443,3.927261080965951e-06
2,115,0.8741258741258742,0.0002007130733242317
2,116,0.8531468531468532,0.0004181179404149969
2,117,0.7692307692307694,0.0034464502618274493
2,118,0.8741258741258742,0.0002007130733242317
2,119,0.8531468531468532,0.0004181179404149969
2,120,0.7692307692307694,0.0034464502618274493
2,121,0.8741258741258742,0.0002007130733242317
2,122,0.8531468531468532,0.0004181179404149969
2,123,0.7692307692307694,0.0034464502618274493
2,124,0.8741258741258742,0.0002007130733242317
2,125,0.8531468531468532,0.0004181179404149969
2,126,0.7692307692307694,0.0034464502618274493
2,127,0.9790209790209792,3.0898013985487064e-08
2,128,1.0,0.0
2,129,0.9440559440559443,3.927261080965951e-06
2,130,0.9790209790209792,3.0898013985487064e-08
2,131,1.0,0.0
2,132,0.9440559440559443,3.927261080965951e-06
2,133,0.8741258741258742,0.0002007130733242317
2,134,0.8531468531468532,0.0004181179404149969
2,135,0.7692307692307694,0.0034464502618274493
2,136,0.8741258741258742,0.0002007130733242317
2,137,0.8531468531468532,0.0004181179404149969
2,138,0.7692307692307694,0.0034464502618274493
2,139,0.8741258741258742,0.0002007130733242317
2,140,0.8531468531468532,0.0004181179404149969
2,141,0.7692307692307694,0.0034464502618274493
2,142,0.8741258741258742,0.0002007130733242317
2,143,0.8531468531468532,0.0004181179404149969
2,144,0.7692307692307694,0.0034464502618274493
2,145,0.9790209790209792,3.0898013985487064e-08
2,146,1.0,0.0
2,147,0.9440559440559443,3.927261080965951e-06
2,148,0.9790209790209792,3.0898013985487064e-08
2,149,1.0,0.0
2,150,0.9440559440559443,3.927261080965951e-06
2,151,0.8741258741258742,0.0002007130733242317
2,152,0.8531468531468532,0.0004181179404149969
2,153,0.7692307692307694,0.0034464502618274493
2,154,0.8741258741258742,0.0002007130733242317
2,155,0.8531468531468532,0.0004181179404149969
2,156,0.7692307692307694,0.0034464502618274493
2,157,0.8741258741258742,0.0002007130733242317
2,158,0.8531468531468532,0.0004181179404149969
2,159,0.7692307692307694,0.0034464502618274493
2,160,0.8741258741258742,0.0002007130733242317
2,161,0.8531468531468532,0.0004181179404149969
2,162,0.7692307692307694,0.0034464502618274493
3,4,0.8741258741258742,0.0002007130733242317
3,5,0.9440559440559443,3.927261080965951e-06
3,6,1.0,0.0
3,7,0.8041958041958043,0.0016147689860699299
3,8,0.8461538461538463,0.0005211337004810046
3,9,0.8741258741258742,0.0002007130733242317
3,10,0.8041958041958043,0.0016147689860699299
3,11,0.8461538461538463,0.0005211337004810046
3,12,0.8741258741258742,0.0002007130733242317
3,13,0.8041958041958043,0.0016147689860699299
3,14,0.8461538461538463,0.0005211337004810046
3,15,0.8741258741258742,0.0002007130733242317
3,16,0.8041958041958043,0.0016147689860699299
3,17,0.8461538461538463,0.0005211337004810046
3,18,0.8741258741258742,0.0002007130733242317
3,19,0.8741258741258742,0.0002007130733242317
3,20,0.9440559440559443,3.927261080965951e-06
3,21,1.0,0.0
3,22,0.8741258741258742,0.0002007130733242317
3,23,0.9440559440559443,3.927261080965951e-06
3,24,1.0,0.0
3,25,0.8041958041958043,0.0016147689860699299
3,26,0.8461538461538463,0.0005211337004810046
3,27,0.8741258741258742,0.0002007130733242317
3,28,0.8041958041958043,0.0016147689860699299
3,29,0.8461538461538463,0.0005211337004810046
3,30,0.8741258741258742,0.0002007130733242317
3,31,0.8041958041958043,0.0016147689860699299
3,32,0.8461538461538463,0.0005211337004810046
3,33,0.8741258741258742,0.0002007130733242317
3,34,0.8041958041958043,0.0016147689860699299
3,35,0.8461538461538463,0.0005211337004810046
3,36,0.8741258741258742,0.0002007130733242317
3,37,0.8741258741258742,0.0002007130733242317
3,38,0.9440559440559443,3.927261080965951e-06
3,39,1.0,0.0
3,40,0.8741258741258742,0.0002007130733242317
3,41,0.9440559440559443,3.927261080965951e-06
3,42,1.0,0.0
3,43,0.8041958041958043,0.0016147689860699299
3,44,0.8461538461538463,0.0005211337004810046
3,45,0.8741258741258742,0.0002007130733242317
3,46,0.8041958041958043,0.0016147689860699299
3,47,0.8461538461538463,0.0005211337004810046
3,48,0.8741258741258742,0.0002007130733242317
3,49,0.8041958041958043,0.0016147689860699299
3,50,0.8461538461538463,0.0005211337004810046
3,51,0.8741258741258742,0.0002007130733242317
3,52,0.8041958041958043,0.0016147689860699299
3,53,0.8461538461538463,0.0005211337004810046
3,54,0.8741258741258742,0.0002007130733242317
3,55,0.8741258741258742,0.0002007130733242317
3,56,0.9440559440559443,3.927261080965951e-06
3,57,1.0,0.0
3,58,0.8741258741258742,0.0002007130733242317
3,59,0.9440559440559443,3.927261080965951e-06
3,60,1.0,0.0
3,61,0.8041958041958043,0.0016147689860699299
3,62,0.8461538461538463,0.0005211337004810046
3,63,0.8741258741258742,0.0002007130733242317
3,64,0.8041958041958043,0.0016147689860699299
3,65,0.8461538461538463,0.0005211337004810046
3,66,0.8741258741258742,0.0002007130733242317
3,67,0.8041958041958043,0.0016147689860699299
3,68,0.8461538461538463,0.0005211337004810046
3,69,0.8741258741258742,0.0002007130733242317
3,70,0.8041958041958043,0.0016147689860699299
3,71,0.8461538461538463,0.0005211337004810046
3,72,0.8741258741258742,0.0002007130733242317
3,73,0.8741258741258742,0.0002007130733242317
3,74,0.9440559440559443,3.927261080965951e-06
3,75,1.0,0.0
3,76,0.8741258741258742,0.0002007130733242317
3,77,0.9440559440559443,3.927261080965951e-06
3,78,1.0,0.0
