Statement 1: Deployment of Gross Bank Credit by Major Sectors,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,source_file,source_sheet,Statement 2: Industry-wise Deployment of Gross Bank Credit
(Rs. Crore),,,,,,,,,,SIBCSJ26E31072026E.xlsx,Statement 1,
Sector,Outstanding as on,,,,,Variation (Year-on-Year),,Variation (Financial Year),,SIBCSJ26E31072026E.xlsx,Statement 1,
,"28.Jun,2024","4.Apr,2025","27.Jun,2025","31.Mar,2026","30.Jun,2026","27.Jun,2025 / 28.Jun,2024","30.Jun,2026 / 27.Jun,2025","27.Jun,2025 / 4.Apr,2025","30.Jun,2026 / 31.Mar,2026",SIBCSJ26E31072026E.xlsx,Statement 1,
,203740.494744,240135.894273,248780.837837,317373.700061,342309.10859,22.106721174694904,37.594644172023926,3.600021392125547,7.856797373004556,SIBCSJ26E31072026E.xlsx,Statement 2,2.14. All Engineering
,45601.677156,52863.096541,55370.020519,59905.307025,71279.416835,21.42101776121789,28.732870544161628,4.742294988443702,18.986814983275675,SIBCSJ26E31072026E.xlsx,Statement 2,2.14.1. Electronics
,158138.817588,187272.797732,193410.817318,257468.393037,271029.691754,22.304453939888642,40.13160975809411,3.2775820409240106,5.267170294977206,SIBCSJ26E31072026E.xlsx,Statement 2,2.14.2. Others
,113509.176644,119450.200207,121563.337347,141075.560129,153225.601378,7.095603140757803,26.045898970855607,1.7690528239702001,8.612435235337689,SIBCSJ26E31072026E.xlsx,Statement 2,"2.15. Vehicles, Vehicle Parts and Transport Equipment"
,84300.701809,85813.54569,88897.280644,121355.091929,117972.89472,5.452598538757668,32.706978059809096,3.593529353908695,-2.787025377541466,SIBCSJ26E31072026E.xlsx,Statement 2,2.16. Gems and Jewellery
,145344.156962,160037.036601,160279.736483,179323.305745,191165.799557,10.27600959899947,19.270098486389717,0.15165232195912187,6.603990352955112,SIBCSJ26E31072026E.xlsx,Statement 2,2.17. Construction
,1352064.091377,1364368.718422,1363380.176772,1490126.393523,1511787.181631,0.8369488892701201,10.885225367613534,-0.07245414209901811,1.4536208607639654,SIBCSJ26E31072026E.xlsx,Statement 2,2.18. Infrastructure
,654147.189305,692159.941731,704513.420872,842654.827977,868220.587694,7.69952579334809,23.236912452196304,1.784772333126599,3.033953983077132,SIBCSJ26E31072026E.xlsx,Statement 2,2.18.1. Power
,137857.433583,123849.801843,109427.507102,108701.432686,96729.419083,-20.622701106562495,-11.604109748350394,-11.644988144012231,-11.01366680012665,SIBCSJ26E31072026E.xlsx,Statement 2,2.18.2. Telecommunications
,346731.426602,334146.511227,344663.998264,338134.90822,341767.687259,-0.596262172789186,-0.8403288476858841,3.147567514136048,1.0743578822203288,SIBCSJ26E31072026E.xlsx,Statement 2,2.18.3. Roads
,7779.45,9155.73,9355.06,6684.13,8022.49,20.253488357146068,-14.24437683991337,2.1771065769742,20.022949882782047,SIBCSJ26E31072026E.xlsx,Statement 2,2.18.4. Airports
,6483.35,5915.78,5529.957257,8794.11,9726.34,-14.705248721725656,75.88454210361358,-6.521925139203955,10.600617913580788,SIBCSJ26E31072026E.xlsx,Statement 2,2.18.5. Ports
,13178.115916,13414.976677,11279.784522,6730.318654,6978.019333,-14.405180574373091,-38.13694473161142,-15.916480560572207,3.6803707481633974,SIBCSJ26E31072026E.xlsx,Statement 2,2.18.6. Railways (other than Indian Railways)
